Designator,Comment,Footprint,MidX,MidY,Rotation,Layer
"C1","100n,10%,16V","C_0402_1005Metric_for_0.25mm_grid",122.250000,34.000000,-90.000000,top
"C2","100n,10%,16V","C_0402_1005Metric_for_0.25mm_grid",120.000000,27.250000,-90.000000,top
"C3","100n,10%,16V","C_0402_1005Metric_for_0.25mm_grid",111.250000,27.250000,-90.000000,top
"C4","100n,10%,16V","C_0402_1005Metric_for_0.25mm_grid",106.250000,27.250000,-90.000000,top
"C5","100n,10%,16V","C_0402_1005Metric_for_0.25mm_grid",97.000000,31.750000,180.000000,top
"C6","100n,10%,16V","C_0402_1005Metric_for_0.25mm_grid",97.250000,39.250000,180.000000,top
"C7","100n,10%,16V","C_0402_1005Metric_for_0.25mm_grid",97.250000,45.750000,180.000000,top
"C8","100n,10%,16V","C_0402_1005Metric_for_0.25mm_grid",101.500000,53.000000,90.000000,top
"C9","100n,10%,16V","C_0402_1005Metric_for_0.25mm_grid",109.250000,52.750000,90.000000,top
"C10","100n,10%,16V","C_0402_1005Metric_for_0.25mm_grid",116.250000,52.750000,90.000000,top
"C11","100n,10%,16V","C_0402_1005Metric_for_0.25mm_grid",123.000000,46.750000,0.000000,top
"C12","100n,10%,16V","C_0402_1005Metric_for_0.25mm_grid",122.250000,40.250000,-90.000000,top
"C13","100n,10%,16V","C_0402_1005Metric_for_0.25mm_grid",122.250000,36.550000,-90.000000,top
"C14","100n,10%,16V","C_0402_1005Metric_for_0.25mm_grid",122.250000,38.400000,-90.000000,top
"C15","10u,10%,50V","C_0805_2012Metric",123.750000,38.250000,-90.000000,top
"C16","10u,10%,50V","C_0805_2012Metric",126.000000,35.250000,180.000000,top
"C17","10u,10%,50V","C_0805_2012Metric",126.000000,33.250000,180.000000,top
"C18","220p,10%,50V","C_0402_1005Metric_for_0.25mm_grid",125.250000,38.500000,-90.000000,top
"C19","100n,10%,16V","C_0402_1005Metric_for_0.25mm_grid",116.000000,26.750000,-90.000000,top
"C20","100n,10%,16V","C_0402_1005Metric_for_0.25mm_grid",97.000000,33.750000,180.000000,top
"C21","100n,10%,16V","C_0402_1005Metric_for_0.25mm_grid",103.500000,53.000000,90.000000,top
"C22","10n,10%,10V","C_0402_1005Metric_for_0.25mm_grid",55.500000,37.250000,90.000000,top
"C23","100n,10%,16V","C_0402_1005Metric_for_0.25mm_grid",54.500000,37.250000,90.000000,top
"C24","10u,10%,50V","C_0805_2012Metric",52.250000,35.500000,90.000000,top
"C25","10u,10%,50V","C_0805_2012Metric",52.250000,40.000000,-90.000000,top
"C26","100n,10%,16V","C_0402_1005Metric_for_0.25mm_grid",54.000000,40.000000,-90.000000,top
"C27","10n,10%,10V","C_0402_1005Metric_for_0.25mm_grid",55.000000,40.000000,-90.000000,top
"C28","100n,10%,50V","C_0603_1608Metric_1.28x0.64mm_Courtyard",131.500000,40.000000,90.000000,top
"C29","10n,50V","C_0402_1005Metric_for_0.25mm_grid",58.000000,30.000000,90.000000,top
"C30","1u,10%,50V","C_0603_1608Metric_1.28x0.64mm_Courtyard",60.000000,29.250000,0.000000,top
"C31","100n,10%,16V","C_0402_1005Metric_for_0.25mm_grid",55.500000,43.000000,90.000000,top
"C32","10u,10%,50V","C_0805_2012Metric",54.000000,45.250000,90.000000,top
"C33","100n,10%,16V","C_0402_1005Metric_for_0.25mm_grid",54.000000,42.000000,-90.000000,top
"C34","100n,10%,16V","C_0402_1005Metric_for_0.25mm_grid",50.250000,44.500000,180.000000,top
"C35","100n,10%,16V","C_0402_1005Metric_for_0.25mm_grid",50.250000,43.500000,180.000000,top
"C36","10u,±10%,10V","C_0603_1608Metric_1.28x0.64mm_Courtyard",52.000000,44.000000,-90.000000,top
"C37","100n,10%,16V","C_0402_1005Metric_for_0.25mm_grid",57.500000,65.000000,90.000000,top
"C38","100n,10%,16V","C_0402_1005Metric_for_0.25mm_grid",29.250000,35.250000,-90.000000,top
